,Open,High,Low,Close,Volume,Date,EMA_7,EMA_14,EMA_21,SMA_7,SMA_14,SMA_21,CUMLOGRET_1,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,GBP USD ,Gold in USD close,Gold in USD volume,Crude Futures_close,Crude Futures_volume,3M,FTSE_H-L,FTSE_O-C,GBP_USD_H-L,GBP_USD_O-C,Gold_H-L,Gold_O-C,Crude_H-L,Crude_O-C,Close_copy
0,5394.5,5449.7,5346.7,5418.7,975363800.0,2011-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.625144,1873.7,442.0,112.33,1048.0,0.88813,103.0,-24.199999999999818,0.012276999999999871,-0.000132000000000021,55.600000000000136,-45.100000000000136,2.180000000000007,-0.28000000000000114,5418.7
1,5418.7,5418.7,5258.5,5292.0,823930000.0,2011-09-02,0.0,0.0,0.0,0.0,0.0,0.0,-0.02365968803113465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.618804,1871.8000000000002,489.0,112.61,959.5,0.88875,160.19999999999982,126.69999999999982,0.007678000000000074,0.00010500000000002174,51.600000000000136,-14.350000000000364,2.1599999999999966,-1.1199999999999903,5292.0
2,5292.0,5292.0,5097.7,5102.6,788821300.0,2011-09-05,0.0,0.0,0.0,0.0,0.0,0.0,-0.06010572053786523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.617207,1869.9,536.0,112.89,871.0,0.89031,194.30000000000018,189.39999999999964,0.012325000000000141,0.00010500000000002174,47.59999999999991,16.399999999999864,2.1400000000000006,-1.9599999999999937,5102.6
3,5102.6,5190.3,5086.8,5156.8,946079100.0,2011-09-06,0.0,0.0,0.0,0.0,0.0,0.0,-0.049539702204807586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.609995,1814.2,470.0,115.8,1062.0,0.89344,103.5,-54.19999999999982,0.02309300000000003,0.0,80.90000000000009,54.700000000000045,2.690000000000012,-2.730000000000004,5156.8
4,5156.8,5322.2,5156.8,5318.6,837910500.0,2011-09-07,0.0,0.0,0.0,0.0,0.0,0.0,-0.018645823457142448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.59482,1854.4,142.0,114.55,770.0,0.89656,165.39999999999964,-161.80000000000018,0.008505999999999903,0.0003820000000001045,35.0,-15.100000000000136,2.289999999999992,1.0300000000000011,5318.6
5,5318.6,5369.8,5269.7,5340.4,922652100.0,2011-09-08,0.0,0.0,0.0,0.0,0.0,0.0,-0.014555377750041147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.598593,1856.4,188.0,112.77,684.0,0.90063,100.10000000000036,-21.799999999999272,0.016048000000000062,-0.0002809999999999757,51.299999999999955,1.699999999999818,2.799999999999997,1.1200000000000045,5340.4
6,5340.4,5352.0,5202.2,5214.7,1048626000.0,2011-09-09,5263.400000000001,0.0,0.0,5263.400000000001,0.0,0.0,-0.038374373852064284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.59775,1841.6,120.0,112.33,491.5,0.90469,149.80000000000018,125.69999999999982,0.01311400000000007,-5.100000000002325e-05,39.25,-3.650000000000091,1.9150000000000063,0.8150000000000119,5214.7
7,5214.7,5214.7,5059.2,5129.6,1009065300.0,2011-09-12,5229.950000000001,0.0,0.0,5222.099999999999,0.0,0.0,-0.054828250850747176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.585691,1826.8,52.0,111.89,299.0,0.90906,155.5,85.09999999999945,0.00978200000000018,-5.100000000002325e-05,27.200000000000045,-9.0,1.0300000000000011,0.5100000000000051,5129.6
8,5129.6,5203.1,5069.5,5174.3,885954000.0,2011-09-13,5216.0375,0.0,0.0,5205.285714285715,0.0,0.0,-0.0461518699821242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.585867,1823.5,156.0,112.4,260.0,0.91219,133.60000000000036,-44.69999999999982,0.01050899999999988,-2.4999999999941735e-05,34.0,19.5,0.8400000000000034,-0.8200000000000074,5174.3
9,5174.3,5270.4,5146.4,5227.0,1116783000.0,2011-09-14,5218.778125000001,0.0,0.0,5223.057142857143,0.0,0.0,-0.03601843455305912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.578607,1778.5,80.0,115.34,1362.0,0.915,124.0,-52.69999999999982,0.01008600000000004,-5.0000000000105516e-05,40.5,37.799999999999955,0.0,0.0,5227.0
10,5227.0,5366.7,5227.0,5337.5,1124040000.0,2011-09-15,5248.458593750001,0.0,0.0,5248.871428571429,0.0,0.0,-0.015098555729101008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.576989,1812.1,111.0,112.22,741.0,0.91781,139.69999999999982,-110.5,0.013211000000000084,0.0001740000000001185,50.59999999999991,-43.59999999999991,2.5700000000000074,0.5600000000000023,5337.5
